timestamp,open,high,low,close
1677456000,1641.4147981098251,1664.406232120472,1612.1812953328422,1634.3017339000462
1677455940,1641.6239317192517,undefined,undefined,undefined
1677369600,1593.993604854481,1648.7056234089664,1588.7948607078026,1641.101308986129
1677369540,1594.9164206990354,undefined,undefined,undefined
1677283200,1607.97,1607.97,1564.8434754024934,1594.6489934736783
1677283140,1608.2500000000002,undefined,undefined,undefined
1677196800,1648.22,1663.74,1580.43,1609.14
1677196740,1650.26,undefined,undefined,undefined
1677110400,1643.1699999999998,1677.37,1632.61,1651.61
1677110340,1643.3899999999999,undefined,undefined,undefined
1677024000,1659.215048784199,1665.51,1600.77,1643.4711443869662
1677023940,1659.0970406239658,undefined,undefined,undefined
1676937600,1703.5813270663045,1716.15,1639.5,1656.929531097175
1676851200,1680.377253120679,1718.2094534099963,1652.86,1702.9258282831647
1676764800,1691.82,1721.7255299434232,1672.0553976124907,1679.5638952307993
1676678400,1693.9465129083715,1708.2444058897731,1681.7260660335785,1691.8397224227883
1676678340,1694.1026718854846,undefined,undefined,undefined
1676592000,1636.2434986068772,1719.94,1633.8099716282666,1694.8414011928019
1676591940,1639.9019361912756,undefined,undefined,undefined
1676505600,1674.8733797905425,1740.5409846395867,1636.7064446684708,1636.9822873389498
1676419200,1557.1286242934982,1676.5733083762736,1542.86,1675.1647198603487
1676419140,1556.000885477283,undefined,undefined,undefined
1676332800,1506.1958215303903,1563.7426760022934,1495.4281185711359,1556.66287545871
1676246400,1515.3007736938125,1525.8762403002418,1467.569646672652,1506.924420867563
1676160000,1538.841502584742,1547.3855383618172,1500.652574075371,1515.954328290493
1676073600,1513.1589277736343,1542.8629820979202,1509.437494022542,1539.2426967051877
1675987200,1545.536155560135,1553.8139487014575,1498.1730262765866,1513.2127974272312
1675900800,1650.6280048333235,1655.7198485433619,1531.9545115724704,1545.771165512472
1675814400,1671.3057285434888,1690.2714587142268,1634.261406613929,1649.2088582619242
1675728000,1614.4353240712594,1677.037731815723,1614.4353240712594,1671.5922075837102
1675641600,1629.3796677298192,1656.4012920772977,1608.2131329006863,1614.2646338144616
1675555200,1665.4101658586933,1672.1804525516375,1614.784128550749,1629.840346561115
1675555140,1666.5753072739517,undefined,undefined,undefined
1675468800,1663.696311986246,1693.9246476687863,1646.4390823486851,1666.2547562859386
1675468740,1664.0356264705806,undefined,undefined,undefined
1675382400,1643.2461032777192,1673.6581632177501,1631.18734628681,1663.9977435229741
1675296000,1641.9797510061826,1712.141090336214,1636.995798306933,1641.6290313682607
1675209600,1585.908610911307,1647.4175895706023,1560.822938076285,1642.4016736122985
1675123200,1566.2601762556606,1600.947229483176,1562.1258820251026,1586.395041584686
1675036800,1644.930737429701,1647.09716055646,1544.1883346420664,1566.267214599806
1674950400,1572.3284596132792,1656.7355616828581,1567.2505554599768,1646.3975912377196
1674864000,1597.7988155004043,1606.3350413485482,1561.682974973507,1573.408539327373
1674777600,1601.1149228955474,1621.57130439506,1560.42851740301,1597.8047515450849
